"geoid","AFFH.pov_idx","AFFH.lbr_idx","AFFH.haz_idx","AFFH.tcost_idx","AFFH.trans_idx","HUD.School.Index","ACS.total.housing.units","ACS.vacant.housing.units","ACS.rental.vacancy.rate","ACS.rented.units","ACS.rented.less.500","ACS.rented.500.999","ACS.rented.1000.1499","ACS.rented.1500.1999","ACS.rented.2000.2499","ACS.rented.2500.2999","ACS.rented.3000.more","ACS.multi.family.units","ACS.3.bedrooms","ACS.4.bedrooms","ACS.5.bedrooms","COI.ALLCOMPLEV","COI.ALLCOMPLEV.NUM","Region"
25027716300,48,64,61,91,41,29,1618,91,"4.9",1032,116,406,459,13,4,0,34,1207,290,200,40,"Low",0.25,"REGION 7"
25027717100,93,88,85,72,20,70,1163,85,"0",160,19,56,40,40,5,0,0,90,400,281,77,"High",0.75,"REGION 7"
25027718100,94,95,86,78,21,71,1751,133,"0",132,34,21,46,31,0,0,0,216,848,505,104,"Very High",1,"REGION 7"
25027719100,82,87,89,75,20,92,2821,73,"0",408,45,39,255,48,21,0,0,390,1342,786,92,"High",0.75,"REGION 7"
25027720100,82,93,93,67,18,69,1307,55,"0",121,0,26,80,15,0,0,0,95,702,294,115,"Very High",1,"REGION 7"
25027721101,84,68,NA,68,0,21,691,23,"0",64,12,17,22,13,0,0,0,5,352,159,25,"High",0.75,"REGION 7"
25027721102,85,74,NA,74,21,76,3194,296,"0",401,70,239,52,27,13,0,0,486,1313,737,138,"High",0.75,"REGION 7"
25027722100,82,66,92,76,25,52,2267,372,"23.5",380,13,224,112,31,0,0,0,436,1004,227,117,"Very High",1,"REGION 7"
25027723100,48,56,92,75,23,80,1832,209,"11.9",386,114,213,50,9,0,0,0,494,850,251,76,"Very Low",0,"REGION 5"
25027724100,69,55,90,76,22,29,1726,166,"0",446,20,137,186,93,0,10,0,352,840,135,29,"Very Low",0,"REGION 7"
25027725100,72,62,91,80,24,55,2204,384,"10.8",538,123,294,45,53,23,0,0,738,838,383,49,"Moderate",0.5,"REGION 7"
25027726100,75,60,90,74,15,35,2457,180,"4.5",234,0,116,79,39,0,0,0,215,988,628,43,"High",0.75,"REGION 7"
25027726200,48,27,76,90,36,35,2824,445,"12.9",1256,321,584,239,112,0,0,0,1576,895,216,66,"Moderate",0.5,"REGION 7"
25027727100,83,87,91,61,21,65,1570,71,"3.9",114,10,36,22,0,46,0,0,64,678,396,172,"Very High",1,"REGION 7"
25027728100,86,91,90,73,23,90,1632,161,"0",121,0,26,37,40,10,8,0,152,626,460,166,"Very High",1,"REGION 7"
25027728200,95,72,75,76,32,69,1421,62,"0",41,0,0,41,0,0,0,0,55,586,341,65,"High",0.75,"REGION 7"
25027728300,96,95,85,79,28,96,1824,139,"7.8",288,82,73,88,17,20,0,8,272,745,499,76,"Very High",1,"REGION 7"
25027728400,86,84,91,74,22,69,1890,79,"0",116,23,14,63,16,0,0,0,178,881,431,130,"High",0.75,"REGION 7"
25027729100,78,6,84,78,25,83,1327,34,"12.1",161,47,55,51,8,0,0,0,198,542,250,57,"Very High",1,"REGION 7"
25027729200,91,85,76,86,27,83,948,63,"0",215,0,136,73,0,6,0,0,247,422,131,9,"High",0.75,"REGION 7"
25027730100,70,67,59,89,34,14,2511,142,"14.9",434,22,217,183,12,0,0,0,513,1274,341,70,"High",0.75,"REGION 7"
25027730200,67,94,65,88,38,14,2439,286,"8.3",486,53,85,260,88,0,0,0,454,1050,312,29,"Very High",1,"REGION 7"
25027730300,67,80,38,93,44,9,2150,159,"2.5",880,46,556,255,16,0,0,7,1083,705,207,35,"High",0.75,"REGION 7"
25027730401,33,34,55,95,51,7,2513,199,"5.5",1634,584,739,311,0,0,0,0,1582,691,178,32,"Very High",1,"REGION 7"
25027730402,70,74,27,92,41,NA,677,96,"13.8",280,29,107,140,4,0,0,0,429,274,73,39,"Moderate",0.5,"REGION 7"
25027730500,28,52,52,94,39,19,1697,308,"9.2",852,27,380,433,5,7,0,0,1192,374,104,18,"Very High",1,"REGION 7"
25027730600,83,85,77,90,39,93,3107,149,"0",588,192,242,40,64,18,32,0,887,1195,535,212,"Very High",1,"REGION 7"
