"CT_ID_10","TotalPop","MedHouseIncome","FamPovPer","UnempRate","COI.ALLCOMPLEV","COI.ALLCOMPLEV.NUM"
25017382500,4869,103911,1.87,5.01,"Very High",1
25017382601,4661,77541,2.4,4.21,"High",0.75
25017382602,4606,113672,0,5.47,"Very High",1
25017383101,3269,28472,25.97,5.27,"Low",0.25
25017383102,5645,35724,25.09,12.01,"Very Low",0
25017383200,6063,61694,13.24,6.94,"Low",0.25
25017383300,3086,50625,3.52,3.4,"Low",0.25
25017383400,6131,56186,11.11,3.73,"Moderate",0.5
25017383501,4931,41579,15.72,5.83,"Low",0.25
25017383502,3837,75380,0,4.24,"High",0.75
25017383600,5974,72205,8.81,2.6,"High",0.75
25017383700,5285,87600,0,2.91,"Moderate",0.5
25017383800,5521,108750,1.96,6.12,"Moderate",0.5
25017383901,8079,99707,2.26,6.67,"Very High",1
25017383902,5401,139364,0.97,3.11,"High",0.75
25017384001,1522,96563,9.97,6.21,"High",0.75
25017384002,5999,70271,8.95,6.64,"Low",0.25
25017385100,6953,118625,2.6,1.55,"Low",0.25
25017385201,2572,66549,1.96,4.08,"Moderate",0.5
25017385202,7895,107155,3.5,4.43,"High",0.75
25017386100,4255,158250,3.57,2.92,"Very High",1
25017387100,4297,103583,2.79,4.73,"Very High",1
25017387201,5868,103281,0.89,6.46,"High",0.75
25017387202,4159,127500,1.01,5.45,"High",0.75
25017388100,5287,103556,3.42,5.97,"Very High",1
25017388200,7433,68864,9.12,7.24,"Very Low",0
25017388300,6375,13984,51.41,11.49,"Very Low",0
25017980000,0,NA,NA,NA,"Moderate",0.5
25019950100,1437,73462,0,3.75,NA,NA
25019950200,5181,87344,9.81,3.81,NA,NA
25019950307,408,81563,0,11.37,NA,NA
25019950400,2638,104464,0,1.03,NA,NA
25019950500,1030,84091,1.22,4.89,NA,NA
25019990000,0,NA,NA,NA,NA,NA
25021400100,5071,97132,1.62,3.88,"Very High",1
25021400200,6074,65845,17.48,2.55,"Very High",1
25021400300,4354,126711,1.23,1.49,"Very High",1
25021400400,5675,95278,6.66,3.48,"Very High",1
25021400500,5279,109333,3.71,5.44,"Very High",1
25021400600,5323,105230,1.65,9.18,"Very High",1
25021400700,3365,134792,2.86,5.4,"Very High",1
25021400800,5480,95817,6.04,3.31,"Very High",1
25021400900,4399,64797,11.81,6.8,"Very High",1
25021401000,3259,91705,11.69,7.87,"Very High",1
25021401100,4332,166552,1.83,4.26,"Very High",1
25021401200,6569,112773,3.01,4.29,"Very High",1
25021402101,3488,74866,4.14,4.75,"High",0.75
25021402102,4316,68864,7.39,6.86,"Low",0.25
25021402200,2239,82667,1.72,5.73,"Low",0.25
25021402300,4259,103750,0.61,4.28,"High",0.75
25021402400,6479,94549,0.37,4.22,"Very High",1
25021402500,4491,101944,1.61,2.67,"High",0.75
25021403100,6681,168239,3.55,5.69,"Very High",1
